id,timestamp,source,event_type,user,host,source_ip,outcome,severity,message,attributes_json
evt-0000002a-00000000,2026-07-30T08:00:05+00:00,vpn,authentication,marcos,ws-014,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000001,2026-07-30T08:00:15+00:00,windows-security,authentication,marcos,ws-014,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-0,2026-07-30T08:00:30+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000002,2026-07-30T08:00:31+00:00,windows-security,authentication,ana,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000003,2026-07-30T08:00:39+00:00,windows-security,authentication,ana,srv-files,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-1,2026-07-30T08:00:48+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000004,2026-07-30T08:00:54+00:00,windows-security,authentication,svc-backup,ws-031,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-2,2026-07-30T08:01:06+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000005,2026-07-30T08:01:07+00:00,vpn,authentication,diego,ws-031,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000006,2026-07-30T08:01:22+00:00,windows-security,authentication,marcos,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-3,2026-07-30T08:01:24+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000007,2026-07-30T08:01:35+00:00,windows-security,authentication,ines,dc-01,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-4,2026-07-30T08:01:42+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000008,2026-07-30T08:01:44+00:00,windows-security,authentication,ines,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-5,2026-07-30T08:02:00+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000009,2026-07-30T08:02:02+00:00,windows-security,authentication,ines,ws-031,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000010,2026-07-30T08:02:15+00:00,vpn,authentication,lucia,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-6,2026-07-30T08:02:18+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000011,2026-07-30T08:02:26+00:00,windows-security,authentication,ana,vpn-01,10.20.4.22,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000012,2026-07-30T08:02:41+00:00,windows-security,authentication,lucia,dc-01,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000013,2026-07-30T08:02:53+00:00,windows-security,authentication,lucia,dc-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-brute-success,2026-07-30T08:03:00+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,success,critical,Sign-in accepted after failures,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000014,2026-07-30T08:03:08+00:00,windows-security,authentication,svc-backup,dc-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000015,2026-07-30T08:03:17+00:00,vpn,authentication,ana,dc-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000016,2026-07-30T08:03:31+00:00,windows-security,authentication,diego,ws-014,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000017,2026-07-30T08:03:46+00:00,windows-security,authentication,ines,ws-022,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000018,2026-07-30T08:03:54+00:00,windows-security,authentication,marcos,vpn-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
